Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,rock_paper_scissor_player_choice.py,100.0%,5.405456066131592
pymoo.algorithms.soo.nonconvex.pattern,2,rock_paper_scissor_player_choice.py,100.0%,5.461294174194336
pymoo.algorithms.soo.nonconvex.pattern,3,rock_paper_scissor_player_choice.py,100.0%,5.3531670570373535
pymoo.algorithms.soo.nonconvex.pattern,4,rock_paper_scissor_player_choice.py,100.0%,5.310903072357178
pymoo.algorithms.soo.nonconvex.pattern,5,rock_paper_scissor_player_choice.py,100.0%,5.355501174926758
pymoo.algorithms.soo.nonconvex.pattern,6,rock_paper_scissor_player_choice.py,100.0%,5.415430068969727
pymoo.algorithms.soo.nonconvex.pattern,7,rock_paper_scissor_player_choice.py,100.0%,5.29204797744751
pymoo.algorithms.soo.nonconvex.pattern,8,rock_paper_scissor_player_choice.py,100.0%,4.860113859176636
pymoo.algorithms.soo.nonconvex.pattern,9,rock_paper_scissor_player_choice.py,100.0%,4.73049783706665
pymoo.algorithms.soo.nonconvex.pattern,10,rock_paper_scissor_player_choice.py,100.0%,4.821702003479004
pymoo.algorithms.soo.nonconvex.pattern,11,rock_paper_scissor_player_choice.py,100.0%,5.139292001724243
pymoo.algorithms.soo.nonconvex.pattern,12,rock_paper_scissor_player_choice.py,100.0%,5.233758211135864
pymoo.algorithms.soo.nonconvex.pattern,13,rock_paper_scissor_player_choice.py,100.0%,5.169267892837524
pymoo.algorithms.soo.nonconvex.pattern,14,rock_paper_scissor_player_choice.py,100.0%,5.203655958175659
pymoo.algorithms.soo.nonconvex.pattern,15,rock_paper_scissor_player_choice.py,100.0%,5.155801057815552
pymoo.algorithms.soo.nonconvex.pattern,16,rock_paper_scissor_player_choice.py,100.0%,5.22407603263855
pymoo.algorithms.soo.nonconvex.pattern,17,rock_paper_scissor_player_choice.py,100.0%,5.239774942398071
pymoo.algorithms.soo.nonconvex.pattern,18,rock_paper_scissor_player_choice.py,100.0%,5.584349155426025
pymoo.algorithms.soo.nonconvex.pattern,19,rock_paper_scissor_player_choice.py,100.0%,5.152789115905762
pymoo.algorithms.soo.nonconvex.pattern,20,rock_paper_scissor_player_choice.py,100.0%,5.126826047897339
pymoo.algorithms.soo.nonconvex.pattern,21,rock_paper_scissor_player_choice.py,100.0%,5.412080764770508
pymoo.algorithms.soo.nonconvex.pattern,22,rock_paper_scissor_player_choice.py,100.0%,5.4200599193573
pymoo.algorithms.soo.nonconvex.pattern,23,rock_paper_scissor_player_choice.py,100.0%,5.586472034454346
pymoo.algorithms.soo.nonconvex.pattern,24,rock_paper_scissor_player_choice.py,100.0%,5.627975940704346
pymoo.algorithms.soo.nonconvex.pattern,25,rock_paper_scissor_player_choice.py,100.0%,5.264979124069214
pymoo.algorithms.soo.nonconvex.pattern,26,rock_paper_scissor_player_choice.py,100.0%,5.0632970333099365
pymoo.algorithms.soo.nonconvex.pattern,27,rock_paper_scissor_player_choice.py,100.0%,5.285996198654175
pymoo.algorithms.soo.nonconvex.pattern,28,rock_paper_scissor_player_choice.py,100.0%,5.3812689781188965
pymoo.algorithms.soo.nonconvex.pattern,29,rock_paper_scissor_player_choice.py,100.0%,5.442534685134888
pymoo.algorithms.soo.nonconvex.pattern,30,rock_paper_scissor_player_choice.py,100.0%,4.94921875
